Q8TBF5,Q8TBF4
Q9NUT2,P47870
O14925,Q96FJ0
P25063,Q9BTN0
P32121,Q9BYC9
P33681,Q86YQ8
Q9Y672,P62244
P13640,A6NGG8
Q9BW91,P56537
Q5T7P2,Q13591
Q86SP6,P63252
O75190,C9J2P7
Q9Y548,P41229
Q86XT2,O14662
Q8NH59,Q9UEF7
P10632,Q99616
Q9Y496,Q9BRJ7
P0CJ85,P69905
Q9Y4J8,P12872
A6NJW9,Q96IR7
Q9UKQ2,Q8TAQ2
Q9BXB5,P41439
O14827,A0A0B4J2E0
P48751,O75096
P36544,Q86TU7
P98170,Q9C0G6
P24530,O15460
P02765,Q5XG87
P55287,Q9UH36
Q9H169,P49916
Q8WW32,Q96BH3
Q9P246,A6NJR5
P00751,Q9H3H9
Q6IMI4,P28799
Q8WVB3,P51795
Q2M3R5,P05362
Q9H2K8,Q9UH90
Q9H7D0,Q9H0N5
O95025,P10070
O75323,Q3ZCQ8
O15389,Q12888
Q9Y3Y2,P11487
P35557,Q86T03
Q3ZLR7,Q8TF09
Q9BRV8,Q99638
O14678,Q8WV99
O43505,Q9UKG4
Q8IWE2,Q9H813
Q8TCC3,Q29980
Q969T3,P51809
P04435,Q6P1Q9
Q01628,Q96QC0
Q8IWX8,P29275
A6NDB9,Q8IZK6
Q8TEB1,Q6ZVK8
P62750,Q49AN0
Q96AX2,Q13432
Q16880,Q15848
A6NJR5,P0CJ75
Q9UM19,Q6ZN68
Q8IVC4,O95359
Q7KYR7,P24310
Q92772,Q04759
Q8TAC9,P36776
P63129,Q9H1J1
Q86YB7,O43264
Q8NH53,Q8N127
Q7Z4J2,P83111
Q9NSA2,Q9BW83
Q9P273,Q9Y5J7
O43379,Q9H792
O94956,O60291
Q16401,O75594
Q9NV35,Q03112
Q9HAU8,Q6B0I6
Q8WXH6,Q8NCQ7
Q9H0V9,O43237
Q9Y4X3,Q14674
Q9H257,P13747
Q6P1M0,Q07020
Q8NAP8,P48637
O14908,Q6UWI2
Q13641,Q9UN67
Q9NZL6,A0PJZ3
Q13427,Q6PIY7
P56817,A6NHQ4
Q9BVW5,Q7Z3Y8
Q5T0W9,Q9HD67
Q6GQQ9,P78562
Q3KQU3,P18124
Q86XD5,Q14155
Q8NFY4,Q2T9L4
Q8NGV6,P51511
P05111,P06133
Q15303,Q8WX77
Q9UJT0,P0C7T4
Q8IWX8,Q5JR12
Q8NDD1,P51685
Q9P0L0,P62952
P51149,P35237
Q96MP8,Q8N5C8
Q96TA1,Q9P0W8
O00634,Q14512
O43169,P39210
Q9H8G2,P83731
Q15813,Q69YH5
O75038,Q8WUQ7
P52738,P84074
P0DMP1,Q6NYC8
P61968,P25116
Q8N8Y5,Q9UIA9
Q9HCH3,P98177
Q2VPA4,Q5VVQ6
Q6A163,P50747
P48023,Q8N162
O00206,Q8IZT8
P03999,Q13118
Q9Y264,Q6UX73
Q96M91,P13521
Q9BQ51,Q7Z3V4
Q9UK17,O43592
P55087,P43088
O95396,O15403
O76082,Q96G97
P02787,P11182
P54829,P42658
Q9Y2Y4,Q9Y397
Q8N2G8,O95759
Q96MT7,Q92952
P48551,P02792
Q68CZ1,P42681
Q9Y4A0,P58012
Q86SE9,P34897
Q9NU63,O43374
Q96GC9,Q7LFX5
O95861,P10323
Q13618,P0DJD8
Q5W041,O00212
Q8NEM7,P61978
Q9Y5Y9,Q9UMQ6
A7MBM2,P10398
Q969M2,Q8NBT0
Q93098,U3KPV4
Q14119,P21815
Q9NX70,Q6WBX8
Q9BR77,Q711Q0
Q8NGG1,P57053
Q9HBJ7,Q04656
P41440,O00748
Q9H8G2,Q68E01
Q92753,Q9BZJ3
Q9H444,Q9BV36
Q7Z6J4,Q9Y6I0
Q8N428,Q9Y3Z3
P20853,Q8TBY8
P28838,O14986
Q8N428,Q86XE3
Q9BSL1,P57075
Q8WUB8,Q6GV28
Q7Z4L5,Q6VVX0
Q8WU58,Q9BYX2
Q96MR9,Q6P1Q0
Q9Y297,Q9NPH9
Q12923,P02724
Q9H211,Q6P0N0
Q8NGL9,P34810
O75157,O75594
Q8IWI9,Q99741
Q96L12,Q8WW59
Q8TC41,Q9UN70
A1L3X4,Q9H2A9
Q08378,Q9NYR9
B9EJG8,Q99633
O14578,Q9Y6B2
A8MTL0,P01834
Q96B23,Q9NS25
Q8NGN8,Q9HD26
P48039,O60279
Q9BY77,Q6R6M4
Q9P2D6,Q6PJ69
O60858,Q9H2X6
Q9BZ23,Q8TCQ1
A6NKF7,P29034
Q96NX9,P08519
Q9Y4F4,Q5T0L3
Q8N162,Q9Y257
P04746,Q9UGQ3
O43524,Q9H009
Q9HCQ5,Q9P2H5
O43567,Q5T764
Q8TD30,P51149
Q8N201,P02656
Q9BYT3,P21917
Q8HWS3,P27544
B0I1T2,A3KN83
P51153,P30519
Q1HG43,O14645
Q9GZX9,Q15007
O00399,Q53EV4
Q13309,P11465
Q92562,Q5T4F4
Q99758,Q5JXM2
Q9UHC1,Q14114
P23743,Q09028
Q9Y221,O75334
O75503,Q32MQ0
P19387,Q9BXP8
Q8N2Q7,P14921
B1AKI9,Q13952
Q9NZH0,P45844
Q9UBY5,Q13283
P84243,Q6AZY7
Q99969,O75022
Q14993,P47888
P34969,Q96N87
Q96RJ6,P41247
P11801,Q8WXS8
P61006,Q7Z7C7
Q9NZR1,A6NN73
Q02742,O75841
O14746,P04733
Q6UXN7,Q9H341
Q9NQI0,Q9BQ13
O76083,O00255
Q63HN8,Q6ZWL3
Q9UDX5,Q8IVV8
Q9NVV0,Q8TBA6
Q9Y5K1,Q969W8
Q9NX74,P51508
O15111,H3BQL2
Q00444,Q8N2U0
Q8NBU5,O95076
Q9Y5Q6,Q6P6C2
Q9H582,P59534
A6NMK7,Q9UBY9
P14543,Q9Y6R1
Q13610,P10398
Q5VX71,Q8IYU4
P00395,P41221
Q9NRP7,Q86U44
Q9Y5K5,P19525
Q9HAP6,P50747
P59535,Q9P1A6
Q8IXQ6,P05141
Q5T447,Q96RL6
Q8WWV3,P26232
Q16644,Q9H875
O75909,Q15040
Q9GZM6,P53778
O43390,P38435
Q86TM6,Q9Y483
Q9Y287,Q15528
O00311,O43854
Q86YB7,Q9UGF5
Q15836,Q15067
Q14011,Q96I36
Q03403,Q13084
P07359,Q07654
P63092,B2RTY4
P20290,P35548
Q9BXW6,Q9UJY4
O14964,Q9NNX9
Q96HA8,Q9UJ96
Q96HH4,Q8NHC8
P22352,Q9UFW8
Q13555,P32246
O00764,P81605
Q01955,Q96A58
P28476,P00973
Q96JH7,Q6MZM0
P51504,A2PYH4
Q9P209,P51553
Q6UX01,P26641
Q5H9I0,Q6UXZ4
Q99666,Q9BXS0
Q9H0A0,P48742
Q9NZA1,A3KFT3
Q6PKG0,P12882
Q12766,Q2VPK5
Q9HBW0,A6NLP5
Q9UKQ9,B2RTY4
Q6ZNA5,O14628
Q12933,Q8NFK1
Q9Y5S1,Q13477
P59282,Q6UXB8
Q96LJ8,Q8NGG6
Q8NAA4,Q96KN7
Q9UK22,P47775
Q9Y6Q3,O43316
P20042,Q13002
Q9BZE9,P13611
P62258,Q8NAP1
Q8WVZ9,Q9Y2I9
Q14839,P13378
A0A0B4J249,Q8NFZ5
Q9BXC1,O15354
Q05940,Q495M3
Q9Y6A5,O95390
Q99633,P0DP73
Q9H089,Q9Y672
P08700,P80075
Q9UJH8,P15248
Q13751,Q93038
Q9NPR9,O60909
P02730,Q8WV22
P21810,Q53FD0
O95825,O75937
Q96SB4,Q7Z6G8
Q0VDE8,Q9Y5B6
Q03013,Q08289
A0A087WSY6,P07225
Q7L2H7,Q6MZW2
P29965,P0DN25
Q8N1I0,P42679
O00238,Q8IVL0
O75157,Q14934
Q02383,Q58FF7
Q86UR5,Q4W5G0
Q5SW24,Q9Y253
Q96PU8,Q7RTX1
Q75T13,P36508
Q9NXC5,P09958
Q9Y606,P32971
Q9H0T7,Q8NDT2
Q5VT99,Q6ZRY4
Q02556,Q6PGN9
Q9H2H8,P38435
Q7L190,Q6P5Z2
Q13936,P57737
A0A0K2S4Q6,O94929
Q7Z401,Q99676
Q7Z3Z3,P14920
Q86YQ2,Q8IVH2
Q6EKJ0,Q9NVH6
P28065,Q9UK59
P46089,Q8WWZ3
P36959,P40225
P38570,Q9Y312
Q8WTV0,Q6ZNG9
Q9H2P9,Q5VT25
Q96RD2,P49685
P30044,Q7Z4G4
Q8N163,Q1W209
Q96G91,Q5JTZ9
Q16254,Q9H993
O95199,P78332
Q92611,Q9Y2C9
P15085,P20962
Q9UK53,O43674
Q9P0L9,O15399
Q9HCN3,Q9C0D7
Q8N394,P37802
P0CF74,Q86Y34
O95405,Q6PCE3
P0DPD8,O95833
O00762,Q9NXE8
P21796,Q8TEB9
O14960,Q92633
O15078,Q5T3I0
Q14141,Q86VR8
Q9NRD1,Q9UNA3
Q499Z4,Q9BZD4
Q6ZMS4,Q9UBL9
P28845,Q9NYQ3
P23381,Q08AF3
P14652,P0DMW2
Q8NGF0,Q7RTP0
Q9Y2A7,Q8TCG1
B3EWF7,Q9BYD9
Q06547,Q96JN2
O95528,Q13554
B2RXF5,Q9H501
Q68CQ4,Q99500
P51857,O43766
O60312,Q8N127
Q9Y295,Q9BYG3
Q96M86,Q99973
P16422,P15036
P49908,Q7Z4H7
P42898,P53801
Q01118,O75925
Q8NGH8,Q9H293
Q8N5Y8,Q7Z7B0
Q9Y3C8,Q8TBG4
Q8WYQ3,P80511
Q16517,Q96LU5
Q8NDX6,Q15139
Q8N7E2,P00747
Q9NYB5,O15511
O60749,Q13535
P05060,Q3SYB3
P62942,Q969L4
P07098,Q14140
O15111,Q6P2H3
Q8IZ40,Q9UL41
Q9BPX3,O95379
Q9Y2P4,Q9UFN0
Q6ZMZ0,P53801
Q96HE9,Q9NZA1
Q6NSI3,Q14186
P22735,P09172
Q8N1I0,P82664
P78345,Q8NI60
P29083,Q8NDL9
Q05925,Q9BZQ6
P0C7N5,Q8N183
Q9NYH9,O15143
Q9BUN5,Q8WWB7
P01019,Q9UN37
Q2M3G4,Q99755
Q9H765,P37108
Q9H6B4,A6NMS7
Q8NI17,Q6XUX3
P41240,Q9NRK6
Q96HP8,P0DMP2
P49917,Q02535
Q96AJ9,O43617
P78536,Q17RC7
Q9P0N8,A1A5D9
O00512,Q9BU02
Q99848,Q7Z434
Q9BWE0,Q05329
Q9NQC8,O00180
P33947,Q9Y6X9
Q14012,Q14139
P07357,Q9Y233
O95373,Q3ZCM7
Q8N5G2,Q6UWU4
Q03519,Q6I9Y2
Q6P988,O14950
P43487,Q86YS6
Q96RD9,P49643
Q6UX06,Q9Y5T5
Q8WXD2,P56180
P46940,Q14444
Q6PI77,Q9H8X2
Q2QGD7,Q6UWU4
Q9GZZ8,Q8N697
Q8TCU3,Q9BXI2
Q9Y2H6,O15551
Q00973,P53602
Q5TB30,Q9HCX4
Q9HCB6,Q14586
Q6QNK2,O94915
P52179,Q99835
Q86WK7,Q8N2M8
Q9UQ03,P50453
Q9NZD8,Q96PH6
Q9Y5F2,Q13123
Q9P2M7,O95371
Q9UIA0,P84996
O15460,Q99527
Q7Z2X4,Q15797
Q8N1B3,Q9HAJ7
Q9H4A4,O95407
P41218,A6NIR3
Q9NXR1,Q8WW01
Q96AN5,Q96QR8
Q9C0F3,P51946
Q8N328,Q9H4M7
Q68DK2,Q9Y5W7
Q8NBM4,Q6P3W7
Q9UF33,Q92572
Q5T3J3,Q9NZQ9
O15520,Q9BWP8
B9A6J9,Q8TEK3
Q9BSQ5,Q8N8U9
O75494,P61421
Q96D46,Q13310
Q9NPG1,Q9BV97
P11464,Q9Y5X9
Q9Y639,Q9HD42
Q8N8Q9,Q9NU53
P80365,P26368
Q8WUH2,Q58FF3
Q99835,Q96C19
P06241,O00472
P35414,Q9H845
Q8TE67,P12272
Q8WV37,O14514
P31271,Q71F56
Q8NGL1,Q9BUJ2
A6NHX0,Q96MA1
A0A087X0M5,Q0VAQ4
Q96H72,P78414
Q96DA0,Q96AE7
Q8NCU8,Q9UHA3
P15907,Q9UMX1
Q15773,O43559
Q9UN36,O14625
Q92915,P62837
Q8NH92,Q8NFJ5
O15498,P05161
Q9UHI8,P57054
Q6P2C8,Q15612
G2XKQ0,Q8TEY7
Q92953,Q86YV9
P51815,A6NKF2
P18283,Q6IPR1
Q9P0J6,Q13705
Q6ZNG9,Q96K62
P42566,Q9C035
Q9BUA3,Q9NQV6
Q96RR4,A6NF83
Q32M78,O14733
P0C7P4,Q86UZ6
P08887,Q15695
Q9H0E2,Q04637
Q9Y5G5,Q9H5Q4
Q8NH73,Q6UUV7
Q14865,Q16650
O14617,P00918
P01861,Q9BYT3
O95397,O00217
O60641,O15357
Q9BWH2,Q9Y276
P48201,Q76B58
Q8WUT9,O00167
Q16514,Q9H3S4
Q8NAG6,Q15303
Q2M2Z5,O95279
P47914,Q8NI29
O43903,Q9UMS0
Q9NPG4,A8MUK1
Q02297,A0A0B4J1V7
P46379,P05114
Q9BWX1,Q5H9B9
Q8NFF2,Q9BR76
Q6ZS72,O43405
O14617,P06312
Q8TF17,Q9Y2S2
P19526,P47869
Q12967,Q9H9J2
Q99622,Q9BRP0
P27986,Q9H9Q4
O95631,P00736
Q9NY74,O43150
P50458,Q8TBM8
P18669,Q5T653
P53384,O95076
Q9UHJ3,Q68D51
Q96LB2,Q9UKK3
Q8N5J2,Q8N8U9
O95059,Q8TBE9
P07237,P30414
Q96A22,Q14512
Q9Y6D6,Q8TAA1
Q9BZM3,Q9UJP4
Q9H8U3,P21796
Q15672,P0CG47
P14091,Q8IVW6
P20333,Q8NA31
Q8N1H7,Q6PH85
Q05086,Q9BVJ7
O15344,Q9BRT6
Q9BWV2,P25021
Q8NFU1,Q9UBW8
P10092,P42336
Q14209,Q15468
Q96RD6,A6NGC4
P50591,P09488
Q8N5V2,Q9BZ11
