Q8TBF5,Q8TBF4
Q9UHV9,Q9Y6M0
Q13449,Q16658
P0CG36,P04921
P00813,Q8NGG8
Q96EH5,P22749
Q92506,Q7LDI9
Q96R09,O60346
P51124,Q53H76
Q6IF99,Q9NZJ0
Q16445,Q9H6Z9
Q9BWW7,Q9P013
Q9BZQ4,Q02246
Q99453,O14548
Q9P013,Q15633
Q96D70,P18077
Q8NFP4,P00748
Q96L15,P53779
Q9NTU7,Q9BVL2
Q03154,Q7Z4T8
P39086,O76099
Q4AC99,Q6FIF0
Q9UHH9,P06280
Q9HAT0,Q96RY5
Q8TCZ2,Q4KMP7
Q9NZI8,Q02083
P15529,O60645
Q6DD88,P18510
Q8TDC3,A2RRD8
Q96EU7,Q05D32
Q9NQZ6,Q9Y5J7
P17031,O14894
A6NDK9,Q6P387
Q5VYS8,P21817
Q92572,P62508
A0A0U1RRE5,Q149M9
P04798,P78543
Q5T0L3,Q6UN15
Q14588,O95996
Q86YR5,O60308
Q9H0S4,P15509
Q6X784,Q9BUL5
P18065,M5A8F1
P19622,O95455
Q96CS2,Q969W1
Q9NZC3,Q9NQB0
Q8TAS1,P0CJ69
Q5T1V6,Q14197
P51116,Q15436
P19883,Q96PU9
Q9NXR8,A4D2B0
Q15008,Q14653
O95445,Q9Y3X0
Q5VTU8,O43670
Q96F15,Q9H1I8
Q495Y8,P04908
Q9NRI6,P23276
Q3KP31,Q6UXH8
Q96HL8,Q92537
Q9Y2K3,O60706
P15088,Q96RR1
Q9HB21,P61296
O95047,P83105
Q9UJC3,Q9UIC8
Q8TF17,P55008
P22670,P35367
Q12857,P57053
Q9NZ94,P57772
Q14241,P13569
P38117,Q9NX95
Q12792,Q8N682
P20020,Q6MZT1
Q96P09,Q9Y5Y0
Q15427,Q9BRR6
A0A0C4DH55,O60687
A6NMY6,Q9HCI6
Q99865,O43709
Q9Y5S8,Q00266
A4D1Z8,Q9H2X8
O95563,A8K0S8
Q92621,A4D2G3
Q8NGS0,Q9H5P4
Q9HBI1,P50443
Q8NHY0,P51798
P0DMV1,P35548
P15291,O43516
P52907,A6NIE6
Q96PC2,Q8TCN5
P52799,Q8TD23
P58182,A0A1B0GTY4
Q96EP5,Q8WU90
P48039,O94989
P0DMP1,Q6UX65
P03901,P53677
Q92502,Q5GFL6
Q8TEV9,O15273
Q9UN71,Q9NR83
Q6UWV6,Q562E7
Q969S6,Q99653
P54750,P09430
Q8NC24,Q96C10
Q6ZVN8,P42261
Q3SY46,Q15633
Q9HAU8,P19526
Q8NAC3,Q8IX94
Q9UBD0,P46781
Q92560,P50990
Q86WA8,Q8IV20
C4AMC7,Q9H8P0
Q9GZT3,P78560
O75354,Q6R6M4
Q9NY43,Q14541
P03951,P53396
Q9NPG8,Q92187
Q16790,O75897
P23510,Q96D59
Q9BV10,Q8IUA7
Q6UXF7,Q4U2R8
Q01082,Q6PI73
Q9BY77,O60880
