Q8TBF5,Q8TBF4
P52952,Q9UG01
Q5JVS0,Q86SR1
Q2M3C6,Q9H321
P07686,Q00526
Q96AH8,Q9H8P0
Q9Y6Q3,O43316
A0A075B6T6,Q13315
A0A087WSY4,A6NFK2
Q96C23,O43677
Q8N865,Q92844
Q9HBI6,Q5XKL5
Q629K1,O60291
Q6ZN66,Q9H0F6
Q9H2F5,Q13813
Q969M1,Q8WWG1
P43034,O14709
P42702,Q08828
Q13797,O43548
Q99259,O75817
Q9P0Z9,Q15012
O14957,P0DP72
Q9UBC5,Q9HAH1
Q02880,Q96CP6
Q9H7Z3,P48506
O15431,Q96E29
Q14118,Q9H4B8
Q9NQS1,P16402
Q92522,P45877
Q86YT6,Q15800
Q5VZK9,P16220
Q12926,Q96DU3
Q6UVM3,P30039
Q7Z4L5,Q6VVX0
P25106,P06280
Q86UE4,Q8TCB6
A6NH52,Q5VZF2
Q96CT7,P54284
Q9H5Q4,P23634
Q6ZRY4,O75648
Q7L985,Q8IXK2
P82279,Q8WYK2
Q5TIA1,O75569
Q86VW0,Q06418
Q9BSE2,O75564
P19634,A0A0U1RQE8
Q96M93,O95470
Q14749,Q6P4H8
Q2M1K9,Q9NRC8
Q9HAU4,Q9Y2U2
Q3SY56,Q15818
P35232,Q9BY42
Q8NER1,Q9Y4H4
P60891,Q02548
Q8NDM7,Q8TC94
O95139,Q9Y586
Q9UKT4,Q8NGW1
Q9UPN9,Q8NGA8
Q9UHI7,Q5VYJ5
Q6A162,O95190
Q9BW11,A8MUV8
Q8NFW9,Q5TH74
Q9P287,O15123
Q14587,Q99832
Q8IVT5,Q0PNE2
Q49A26,O95071
Q96AQ8,Q93045
Q9Y5J9,Q9P127
Q9NS98,Q16718
Q9UJ70,Q6TDP4
P01825,Q96J87
Q9NRR3,Q8NGB4
Q96RC9,Q92989
P03986,Q96DP5
Q8NGI3,P22528
Q8NGL7,P15408
Q99719,P48723
Q6ZPD8,Q96T60
Q6UXX9,Q8NBR0
O15020,Q9H490
P60981,O94875
Q04609,Q14188
Q8N4H5,O43293
P82921,Q96IU2
Q96AP4,Q8IUF8
Q9NQG5,O75154
P03973,P33176
Q9BYF1,Q8N357
P17031,Q13569
Q96CW1,Q9H0B6
P31415,P55212
Q96RU2,Q8NCG5
P25874,Q9Y3T9
Q9Y3T9,Q86UU9
P50150,Q9UN74
Q14147,P30532
Q92902,Q6P9H4
P01763,A6NMX2
Q7L311,P78337
Q9Y6E0,Q6BDS2
Q12988,Q9H4G0
Q16584,Q8IZ20
A0PJW6,Q7Z2Y5
A8MXZ3,Q96LQ0
P02743,P46821
Q8N3E9,Q8IXQ5
Q8NBJ9,P58401
Q9BR77,Q711Q0
P10827,A0A0C5B5G6
O15243,O43670
Q7Z3E1,P25398
Q18PE1,Q8NGG2
P01275,Q9BX74
Q6P3R8,P09874
Q14160,P55008
Q99623,Q9NWU1
Q9NY74,O43150
Q3LI66,Q8TDP1
P32969,O14796
Q9UNE7,P35372
Q8TD31,P43629
P34130,Q13671
P18615,P0DPK3
O14558,Q9H2H8
Q9UPQ0,O00115
Q07812,Q96QP1
Q14246,Q9UN74
Q9UKF6,Q8TD46
Q8NDV3,O75462
Q8NBT2,Q6ZRI8
A6NLJ0,P01859
Q8TE77,O00410
Q6ZPD9,Q9C0C9
Q6ZNA4,P31152
Q92523,Q9BRD0
Q00577,Q8WTX9
Q9H582,P59534
Q9NV31,P25021
Q86SQ3,Q8IWU6
P11684,P20809
Q99944,P01589
Q5VT06,Q6PII5
P42858,Q8IXH8
Q9NRD9,Q17RW2
Q01151,A0A087WT03
A0A075B6K4,Q8WWY7
Q8N801,Q9UHJ9
P13584,O60645
Q9BZQ8,Q8IVG9
Q5VTU8,P01767
P43166,Q96IC2
Q15513,Q6Y7W6
Q01453,Q96K19
Q6XZB0,P20908
Q2M3G4,Q99755
O43149,P09958
Q5T442,O94876
Q9NYM4,P10644
Q9UBS0,Q9HCN4
Q7KZI7,Q9UMZ3
