P00352,O60356
O00255,Q9UPS6
Q9Y265,P61244
P38398,O43175
Q15058,Q9H0H5
Q9H6Z4,P07476
P31943,Q9UJH8
Q96FW1,Q8WWK9
Q02241,Q9H583
Q13009,Q9BPZ7
P26367,P50458
O00165,Q9NRW1
P56556,Q13349
P62861,P62753
Q8IX01,Q96AK3
Q12824,Q92925
Q8WVV4,O15547
P37088,Q9BUN8
Q8TCJ2,Q9UGP8
Q6N021,O43813
Q9BSJ8,O76038
Q9ULM3,Q6ZWI9
P04792,Q13043
Q9H6Z9,Q6UB99
P35579,Q7Z6Z7
P15153,Q86SJ2
P07947,Q16539
Q9P021,Q9NX02
Q53H12,Q92485
P22607,P22415
P10147,A5PL33
P51148,P14854
Q9UBB5,Q13112
Q969H0,Q86X55
Q8TBB1,O75396
Q8IW75,Q9P273
Q6L8Q7,O14880
P63261,Q8TDR0
Q8NHZ7,Q96HN2
Q12802,P10827
P62937,P60842
O60506,Q8TDD1
Q86VM9,Q09028
Q9Y279,Q63HN8
Q13635,Q8IVL6
Q15047,P11308
Q9UPW8,P31150
P51151,Q9Y5Z9
Q86UK7,Q92973
P62807,P25440
P18124,Q05086
P03372,Q6NXT4
P61956,O15226
Q9H4M7,O75431
Q9BXB1,Q15758
Q9UKN8,O75807
Q5TCM9,P60370
P26038,Q96FQ6
O15439,Q06136
Q9BZR8,Q9BSJ2
P08621,Q00059
Q6IQ23,Q9BYX2
P35579,Q8WX93
P49116,Q9NU22
Q05516,Q9Y2V7
Q9Y251,O95816
Q9NVF7,O15123
Q12931,P35754
P13569,Q5T2W1
O60506,Q6KCM7
P27695,Q9UK41
Q01518,P33991
Q9H2H9,P00403
P78352,Q9H2L5
P62304,Q9Y383
P11047,Q9UHD9
Q9NXE4,Q99442
P35222,Q96EB6
Q14980,Q9UFC0
Q15797,Q9UPZ6
P41002,Q9BZJ0
Q15843,P62807
Q99733,Q9BXG8
Q9NR96,Q9BTE3
P17174,Q07960
O15205,Q96JH7
Q9Y6K9,P36888
Q01167,Q9H9L4
Q9UKJ1,Q76KP1
Q9BQB6,Q96KR6
Q9UKD2,P78563
P27487,Q86VP6
P56199,Q5TAT6
P26641,O94761
Q7Z7F7,P18621
P49736,Q01844
Q9BZL6,Q9Y6Y8
Q99445,Q9UKJ8
O75175,Q8TDX7
Q13085,Q6NUN9
P62136,Q86YT6
Q13972,Q07912
Q14980,O43491
P04040,O00232
Q9BRQ0,Q9UPU3
P16949,P13667
Q96HY6,Q99928
Q9ULF5,Q8TEB7
P84095,Q13439
Q96SB4,Q9HAT8
P57078,P50502
Q09028,P28749
P05556,O94972
Q9H8V3,Q7Z7L1
Q86UY6,Q15185
Q92900,Q9HAU5
Q92876,P48645
Q15418,P01308
P55036,P02144
Q13769,P30559
O60506,Q9NQY0
Q96EP0,P07477
Q5T749,A6H8Z2
Q96B26,P17482
Q8TEP8,Q9HC77
P13569,Q9UQB8
Q12797,Q8N5I4
O75190,O95219
Q6P2Q9,P62280
Q96P11,O15160
Q16881,O00410
O14964,Q9P2W7
Q9Y6C9,Q8IXI2
P61289,Q9UKM9
P68431,Q14149
P51668,Q13042
Q9BRK5,Q96AY4
P05412,P61626
O60512,Q06136
P13612,Q5SSJ5
P27361,Q9NRW4
P84085,P31943
P15153,P53365
