P00352,O60356
Q96FW1,P17066
Q13489,O75494
Q15646,Q9NW13
Q9H501,Q9NY12
Q9P2S5,Q9NTZ6
P35226,Q14966
Q9H3N1,O43286
P36542,Q7KZF4
Q86VU5,Q8N1F8
P56279,Q96N21
O75940,P62753
P13569,P11216
Q9H5K3,P35499
Q69YN4,Q86WI3
P48594,O95968
P01106,P57678
Q9GZM8,Q9UIE0
Q8NFZ5,P35998
P09958,Q6P4A7
Q86VM9,P25311
P68400,P21127
O60346,O43313
P46940,P00441
P61758,P61278
Q96HY6,Q15393
Q01518,O43639
Q96LR2,Q8N8B7
Q99081,Q15796
Q4VCS5,Q9Y5B0
Q9UPW8,P52209
Q96HU1,Q96DA2
P36507,P21266
Q9H0W5,Q13835
Q96A25,O96005
Q9BSL1,P78424
P04440,P01042
Q8WXI8,Q92747
Q4U2R6,O75570
P49116,Q15723
P08138,O75509
Q8TF66,Q96T68
O95816,P36957
O43752,Q658P3
P61353,P62081
Q9UKL0,P50454
Q8WYQ5,Q9BYG3
P26951,O43314
Q96HA8,Q15041
P40939,O96028
P54274,Q6P2H3
Q9H7F0,Q86W33
Q9NRA8,Q86UW9
Q9UNE7,Q5T8D3
Q96CS3,Q96RQ1
P50552,Q9UQB8
P13804,O60739
P51948,P18074
Q9H160,Q8IUE1
Q13087,P27797
P46934,Q6ZVM7
P01730,P11912
Q9NRY5,P02724
Q9Y2G8,Q9Y6I9
P47755,Q9H0H5
P50222,P62166
Q96FF9,Q6NUS8
Q86UE4,P51805
Q9NPI1,Q86V81
P27348,P25054
O60885,P61970
P61313,P38919
Q8N5F7,Q15059
P14921,Q5VUB5
Q96GG9,Q15436
O75530,P62266
P62330,O75821
Q92797,Q6PIY7
Q8NAU1,P21128
Q04206,Q8TAD8
O14965,Q63HK3
P78362,P46783
P80303,Q9Y264
P48426,P51608
Q13155,Q9Y5K8
P08631,O15479
Q96HY7,P43897
P06702,P37231
Q02880,Q92925
O14641,Q9H0W7
Q15762,Q8N8L6
Q7Z3Y8,Q9H6X5
Q9UIR0,P21709
Q7L5Y9,O43464
Q9H4M7,Q15006
Q9NZI8,Q9NVX0
O15234,Q96AK3
Q96ED9,Q92530
Q03591,P00751
P84095,Q96A35
O95235,Q9NQ39
Q9NR77,Q9NY91
O15530,Q92569
P11142,P09471
Q04864,Q8IX06
P13473,P55212
Q9Y5Y2,Q8TDP1
O60503,P51828
Q8NDW4,Q14195
Q15029,P07814
P06756,Q5SRR4
P84095,P82675
Q96BT7,P50991
P21796,P51149
Q9Y2K5,Q5TAX3
P79522,Q5JNZ5
P07949,P46934
Q9Y399,Q00059
Q96GD4,P62906
Q96QF0,O95716
O95625,Q75WM6
Q01344,P12110
P00387,Q9Y6H1
Q96PY5,P07476
P78317,Q8N6S5
O15155,Q8TAD4
Q4VCS5,Q15323
Q99836,Q13045
O00322,O95672
P15172,Q8IY57
Q92614,P19105
P27695,Q15649
Q9HBH7,Q9H6E5
P78559,Q12959
P52943,P05067
P17987,Q9H2J4
O14773,Q96E52
Q9HCN8,Q5UCC4
P07437,A5A3E0
Q9Y512,O95977
P50914,Q6PK04
P60900,P78346
P03372,Q9UJ41
Q9NR46,Q8N448
Q8IUD2,Q6IBS0
P43005,Q96DA6
P16234,Q9UNH7
P29034,Q7Z2T5
P05067,Q9H0G5
P48431,P35711
Q02241,Q8IUD2
Q9HAP6,Q5R372
Q9Y483,Q96D09
Q9BYN8,P26373
P50402,Q9BVC6
P37088,Q9ULY5
Q92569,O15431
Q969H0,Q63ZY3
P43378,Q9Y320
Q9ULG6,Q70JA7
O60266,Q9Y4A9
Q8N661,O95393
Q96PZ0,Q9NVC6
Q9BSH4,Q6L8Q7
P61956,Q9BXS5
O15479,Q9BRU9
P60410,Q96BZ8
O95159,O95249
P84098,Q13601
O14818,O95817
Q9NVI1,Q9BV47
P33993,P34969
O14907,Q99569
Q9Y3C5,P28070
P42574,O76074
O43752,Q08378
P15408,P62888
Q96G75,P53701
P23528,Q9BXW9
P35908,Q70EL1
P02686,O75716
Q9P2J5,P42704
Q4G0J3,Q12931
O00165,P32004
Q96QB1,Q8N6M6
O95257,Q9BVJ6
A0FGR8,Q8N144
Q9NV56,P53355
Q99853,O43423
P13473,O60245
P04899,O43808
Q9GZR7,Q9UL40
O15075,P30307
O95872,Q9C0B1
